V_Seg_1,PtCount,29660,Angle,90.3757,Min_pt,0.57383,Max_pt,2.6364,Door
V_Seg_3,PtCount,124233,Angle,89.796,Min_pt,0.241632,Max_pt,4.5578,Other,4.31617
V_Seg_4,PtCount,68889,Angle,90.1954,Min_pt,0.260096,Max_pt,4.03067,Other,3.77058
V_Seg_5,PtCount,82011,Angle,90.4311,Min_pt,0.0321109,Max_pt,2.99915,Other,2.96704
V_Seg_6,PtCount,9472,Angle,89.9988,Min_pt,1.00908,Max_pt,2.55946,Other,1.55038
V_Seg_7,PtCount,26963,Angle,89.9258,Min_pt,1.23105,Max_pt,3.39913,Door
V_Seg_8,PtCount,1670,Angle,93.2063,Min_pt,0.779263,Max_pt,2.06678,Other,1.28751
V_Seg_9,PtCount,1511,Angle,91.5127,Min_pt,0.776256,Max_pt,2.20079,Other,1.42454
V_Seg_10,PtCount,39014,Angle,88.6399,Min_pt,0.90249,Max_pt,2.59795,Other,1.69546
V_Seg_11,PtCount,12387,Angle,91.9114,Min_pt,0.770645,Max_pt,2.20981,Other,1.43916
V_Seg_12,PtCount,4172,Angle,86.4422,Min_pt,0.759067,Max_pt,2.20645,Other,1.44738
V_Seg_13,PtCount,15894,Angle,89.7705,Min_pt,0.99991,Max_pt,3.34142,Door
V_Seg_14,PtCount,42687,Angle,89.8508,Min_pt,1.18279,Max_pt,2.91992,Other,1.73714
V_Seg_15,PtCount,47747,Angle,90.0715,Min_pt,1.1316,Max_pt,4.57874,Other,3.44714
V_Seg_16,PtCount,2204,Angle,89.7693,Min_pt,1.026,Max_pt,1.11215,Other,0.086148
V_Seg_17,PtCount,2188,Angle,89.9882,Min_pt,1.35937,Max_pt,2.98855,Other,1.62918
V_Seg_18,PtCount,545,Angle,89.682,Min_pt,1.03925,Max_pt,1.21544,Other,0.176193
V_Seg_19,PtCount,667,Angle,90.0771,Min_pt,1.03762,Max_pt,1.42509,Other,0.387464
V_Seg_20,PtCount,786,Angle,89.4549,Min_pt,1.03527,Max_pt,1.42661,Other,0.391335
V_Seg_21,PtCount,4001,Angle,90.6667,Min_pt,0.590063,Max_pt,2.36187,Other,1.7718
V_Seg_22,PtCount,2162,Angle,89.9328,Min_pt,0.583937,Max_pt,2.27303,Other,1.68909
V_Seg_23,PtCount,5137,Angle,90.509,Min_pt,0.764294,Max_pt,2.39873,Other,1.63444
V_Seg_24,PtCount,7081,Angle,89.8857,Min_pt,0.582311,Max_pt,2.39102,Door
V_Seg_25,PtCount,6349,Angle,90.0403,Min_pt,1.00173,Max_pt,2.43756,Other,1.43583
V_Seg_26,PtCount,1064,Angle,88.917,Min_pt,0.603921,Max_pt,2.23575,Other,1.63183
V_Seg_27,PtCount,2228,Angle,89.8121,Min_pt,0.581579,Max_pt,2.38043,Other,1.79885
V_Seg_28,PtCount,544,Angle,90.7421,Min_pt,0.593495,Max_pt,2.06227,Other,1.46878
V_Seg_29,PtCount,1408,Angle,90.2148,Min_pt,1.0195,Max_pt,2.30573,Other,1.28623
V_Seg_30,PtCount,8752,Angle,90.143,Min_pt,0.164814,Max_pt,2.38892,Door
V_Seg_31,PtCount,51403,Angle,90.7898,Min_pt,1.47469,Max_pt,3.77869,Door
V_Seg_32,PtCount,1061,Angle,88.8236,Min_pt,0.955545,Max_pt,2.30557,Other,1.35003
V_Seg_33,PtCount,1393,Angle,90.4717,Min_pt,1.02185,Max_pt,2.37346,Other,1.35161
V_Seg_34,PtCount,2951,Angle,90.3199,Min_pt,0.483267,Max_pt,2.3878,Door
V_Seg_35,PtCount,1330,Angle,91.5838,Min_pt,0.937472,Max_pt,2.37885,Other,1.44138
V_Seg_36,PtCount,1131,Angle,90.0413,Min_pt,0.584222,Max_pt,2.44921,Door
V_Seg_37,PtCount,1057,Angle,90.9873,Min_pt,0.5926,Max_pt,2.37468,Other,1.78208
V_Seg_38,PtCount,910,Angle,88.997,Min_pt,1.01959,Max_pt,2.33145,Other,1.31186
V_Seg_39,PtCount,522,Angle,91.1675,Min_pt,0.937767,Max_pt,2.27796,Other,1.34019
V_Seg_40,PtCount,6774,Angle,89.9587,Min_pt,0.313081,Max_pt,0.969752,Other,0.656671
V_Seg_41,PtCount,647,Angle,76.6736,Min_pt,0.590943,Max_pt,1.0207,Other,0.429754
V_Seg_43,PtCount,611,Angle,93.0022,Min_pt,0.592094,Max_pt,2.04109,Other,1.449
V_Seg_44,PtCount,1613,Angle,90.3292,Min_pt,0.585501,Max_pt,2.30955,Other,1.72405
V_Seg_45,PtCount,588,Angle,90.3977,Min_pt,0.591889,Max_pt,0.93295,Other,0.341061
V_Seg_46,PtCount,1070,Angle,109.654,Min_pt,0.73586,Max_pt,1.08926,Other,0.353398
V_Seg_47,PtCount,1512,Angle,89.7285,Min_pt,0.795563,Max_pt,2.38678,Other,1.59122
V_Seg_48,PtCount,695,Angle,89.808,Min_pt,0.785501,Max_pt,2.21279,Other,1.42729
V_Seg_49,PtCount,511,Angle,92.6121,Min_pt,0.865653,Max_pt,1.75215,Other,0.886495
V_Seg_50,PtCount,1091,Angle,86.8715,Min_pt,0.61722,Max_pt,1.02813,Other,0.410907
V_Seg_51,PtCount,590,Angle,89.8852,Min_pt,0.734539,Max_pt,2.16161,Other,1.42707
V_Seg_52,PtCount,2642,Angle,89.4969,Min_pt,0.04459,Max_pt,0.987245,Other,0.942655
V_Seg_53,PtCount,6909,Angle,89.928,Min_pt,0.039772,Max_pt,0.949337,Other,0.909565
V_Seg_54,PtCount,1106,Angle,106.762,Min_pt,0.640246,Max_pt,1.0401,Other,0.399851
V_Seg_56,PtCount,1864,Angle,90.2835,Min_pt,0.043571,Max_pt,2.91722,Other,2.87365
V_Seg_57,PtCount,2568,Angle,89.8273,Min_pt,0.404155,Max_pt,0.970495,Other,0.56634
V_Seg_58,PtCount,1365,Angle,74.93,Min_pt,0.603698,Max_pt,1.0463,Other,0.442604
V_Seg_59,PtCount,1486,Angle,101.484,Min_pt,0.536109,Max_pt,1.00488,Other,0.46877
V_Seg_61,PtCount,936,Angle,108.133,Min_pt,0.666008,Max_pt,1.02889,Other,0.362883
V_Seg_62,PtCount,902,Angle,85.7489,Min_pt,0.972447,Max_pt,2.203,Other,1.23055
V_Seg_65,PtCount,2434,Angle,89.2845,Min_pt,2.2278,Max_pt,2.35072,Other,0.122926
V_Seg_66,PtCount,1860,Angle,90.0531,Min_pt,1.44875,Max_pt,2.43934,Other,0.990589
V_Seg_69,PtCount,2064,Angle,89.9579,Min_pt,0.0409989,Max_pt,2.92568,Other,2.88468
V_Seg_70,PtCount,598,Angle,90.0456,Min_pt,2.56278,Max_pt,2.60271,Other,0.0399239
V_Seg_75,PtCount,29204,Angle,90.2304,Min_pt,0.162556,Max_pt,1.38521,Other,1.22266
V_Seg_77,PtCount,2944,Angle,89.4077,Min_pt,0.0829129,Max_pt,0.234207,Other,0.151294
V_Seg_81,PtCount,1207,Angle,89.7036,Min_pt,3.70432,Max_pt,4.03025,Other,0.325933
V_Seg_84,PtCount,1061,Angle,88.7469,Min_pt,0.090109,Max_pt,0.235998,Other,0.145889
